idTransacao,dataDaTransacao,Estabelecimento,cidade,estado,pais,valor,parcelado?,numeroDaParcela,classificacaoDoGasto
31,2023-07-02,Supermercado ABC,São Paulo,SP,Brasil,190.00,Não,0,Alimentação
32,2023-07-05,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,160.00,Não,0,Alimentação
33,2023-07-10,Loja de Roupas Fashion,Porto Alegre,RS,Brasil,350.00,Não,0,Vestuário
34,2023-07-15,Cinema Cineplex,Chicago,IL,Estados Unidos,35.00,Não,0,Entretenimento
35,2023-07-20,Supermercado ABC,São Paulo,SP,Brasil,220.00,Não,0,Alimentação
36,2023-08-02,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,180.00,Não,0,Alimentação
37,2023-08-05,Loja de Eletrônicos ABC,Los Angeles,CA,Estados Unidos,3000.00,Não,0,Tecnologia
38,2023-08-10,Supermercado ABC,São Paulo,SP,Brasil,190.00,Não,0,Alimentação
39,2023-08-15,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,170.00,Não,0,Alimentação
41,2023-09-02,Supermercado ABC,São Paulo,SP,Brasil,200.00,Não,0,Alimentação
42,2023-09-05,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,160.00,Não,0,Alimentação
43,2023-09-10,Loja de Roupas Fashion,Porto Alegre,RS,Brasil,360.00,Sim,1,Vestuário
44,2023-09-10,Loja de Roupas Fashion,Porto Alegre,RS,Brasil,360.00,Sim,2,Vestuário
45,2023-09-15,Cinema Cineplex,Chicago,IL,Estados Unidos,40.00,Não,0,Entretenimento
46,2023-09-20,Supermercado ABC,São Paulo,SP,Brasil,180.00,Não,0,Alimentação
47,2023-10-02,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,170.00,Não,0,Alimentação
48,2023-10-05,Loja de Eletrônicos ABC,Los Angeles,CA,Estados Unidos,2800.00,Não,0,Tecnologia
49,2023-10-10,Supermercado ABC,São Paulo,SP,Brasil,210.00,Não,0,Alimentação
50,2023-10-15,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,150.00,Não,0,Alimentação
51,2023-11-02,Loja de Roupas Fashion,Porto Alegre,RS,Brasil,380.00,Não,0,Vestuário
52,2023-11-05,Cinema Cineplex,Chicago,IL,Estados Unidos,45.00,Não,0,Entretenimento
53,2023-11-10,Supermercado ABC,São Paulo,SP,Brasil,200.00,Não,0,Alimentação
54,2023-11-15,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,180.00,Sim,1,Alimentação
55,2023-11-15,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,180.00,Sim,2,Alimentação
56,2023-11-20,Loja de Roupas Fashion,Porto Alegre,RS,Brasil,350.00,Não,0,Vestuário
57,2023-12-02,Cinema Cineplex,Chicago,IL,Estados Unidos,40.00,Não,0,Entretenimento
58,2023-12-05,Supermercado ABC,São Paulo,SP,Brasil,220.00,Não,0,Alimentação
59,2023-12-10,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,160.00,Não,0,Alimentação
61,2023-12-20,Supermercado ABC,São Paulo,SP,Brasil,190.00,Não,0,Alimentação
62,2024-01-02,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,180.00,Não,0,Alimentação
63,2024-01-05,Loja de Roupas Fashion,Porto Alegre,RS,Brasil,370.00,Sim,1,Vestuário
64,2024-01-05,Loja de Roupas Fashion,Porto Alegre,RS,Brasil,370.00,Sim,2,Vestuário
65,2024-01-10,Cinema Cineplex,Chicago,IL,Estados Unidos,35.00,Não,0,Entretenimento
66,2024-01-15,Supermercado ABC,São Paulo,SP,Brasil,210.00,Não,0,Alimentação
67,2024-02-02,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,160.00,Não,0,Alimentação
68,2024-02-05,Loja de Eletrônicos ABC,Los Angeles,CA,Estados Unidos,2700.00,Não,0,Tecnologia
69,2024-02-10,Supermercado ABC,São Paulo,SP,Brasil,200.00,Não,0,Alimentação
70,2024-02-15,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,150.00,Não,0,Alimentação
71,2024-03-02,Loja de Roupas Fashion,Porto Alegre,RS,Brasil,400.00,Não,0,Vestuário
72,2024-03-05,Cinema Cineplex,Chicago,IL,Estados Unidos,40.00,Não,0,Entretenimento
73,2024-03-10,Supermercado ABC,São Paulo,SP,Brasil,230.00,Não,0,Alimentação
74,2024-03-15,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,180.00,Sim,1,Alimentação
75,2024-03-15,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,180.00,Sim,2,Alimentação
76,2024-03-20,Loja de Roupas Fashion,Porto Alegre,RS,Brasil,380.00,Não,0,Vestuário
77,2024-04-02,Cinema Cineplex,Chicago,IL,Estados Unidos,45.00,Não,0,Entretenimento
78,2024-04-05,Supermercado ABC,São Paulo,SP,Brasil,240.00,Não,0,Alimentação
79,2024-04-10,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,170.00,Não,0,Alimentação
